claim_id,policy_id,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,coverage,policy,renew_offer,last_claim,policy_change,denied_claims,claims_file,avg_length_of_handling_process,auto_make,auto_model,auto_year
5893533917,9P6G9CODN,521585,2014-10-17,OH,250/500,1000,1406.91,0,Basic,Personal L3,offer1,1,0,1,1,13,Saab,92x,2004
3117372781,0DE26EE97,342868,2006-06-27,IN,250/500,2000,1197.22,5000000,Basic,Personal L1,offer3,6,1,0,12,18,Mercedes,E400,2007
7300048821,5JP6OFZWT,687698,2000-09-06,OH,100/300,2000,1413.14,5000000,Premium,Personal L1,offer4,21,8,2,13,15,Dodge,RAM,2007
2409117520,25ILZ2UHF,227811,1990-05-25,IL,250/500,2000,1415.74,6000000,Basic,Personal L3,offer2,13,0,0,0,25,Chevrolet,Tahoe,2014
2787212424,AV6SBLDK5,367455,2014-06-06,IL,500/1000,1000,1583.91,6000000,Basic,Personal L3,offer1,23,0,0,6,6,Accura,RSX,2009
3412049203,P7ABGOUFT,104594,2006-10-12,OH,250/500,1000,1351.1,0,Extended,Corporate L1,offer4,10,10,0,14,13,Saab,95,2003
5591099710,T8DNMTHHG,413978,2000-06-04,IN,250/500,1000,1333.35,0,Basic,Personal L3,offer1,18,0,1,2,14,Nissan,Pathfinder,2012
4054300710,2LWNW08KF,429027,1990-02-03,IL,100/300,1000,1137.03,0,Extended,Personal L3,offer3,27,2,1,5,14,Audi,A5,2015
2967674688,FR1D0RJ4L,485665,1997-02-05,IL,100/300,500,1442.99,0,Basic,Personal L2,offer3,16,4,0,0,13,Toyota,Camry,2012
3202564312,2E65GJ7WR,636550,2011-07-25,IL,100/300,500,1315.68,0,Extended,Personal L1,offer2,15,13,8,14,20,Saab,92x,1996
9035615262,RFYSI77GT,543610,2002-05-26,OH,100/300,500,1253.12,4000000,Basic,Personal L1,offer2,20,0,0,15,25,Ford,F150,2002
